upc,item,brand,segment,week_ending,sub_group,own_lift,peer_net_change,cannibalization_rate,peer_stockout_share
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-04-12,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,345.39366588887845,399.60232406373575,-1.1569474588810136,0.07692307692307693
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-04-19,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,268.5733675461662,723.0307109225405,-2.6921161898089383,0.15384615384615385
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-05-17,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,312.3341333214553,889.569530971369,-2.848134212906603,0.0
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-05-24,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,378.5061242523601,1907.9728168019665,-5.040797742891659,0.06666666666666667
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-05-31,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,363.827740374368,767.408506661362,-2.109263317502182,0.1111111111111111
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-06-14,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,309.01357578296677,1091.7771166310044,-3.533104051706147,0.2857142857142857
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-07-05,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,162.1365029897613,345.4785162289731,-2.1307880079958896,0.21428571428571427
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-07-26,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,226.89784175990133,39.157482454888054,-0.17257758888832317,0.125
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-08-23,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,172.02400861273838,4054.865794278572,-23.5715109011726,0.0
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-08-30,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,220.51232329868913,2897.234678366547,-13.13865200378019,0.058823529411764705
